run,iteration,n_neighbors,mae,rmse
1,2,1,107730012.02853335,217499164.96444315
1,2,2,96416955.6652667,192298948.89872593
1,2,3,88113705.03840001,180176361.02804506
1,2,4,84823566.35649998,188516358.01968974
1,2,5,87467230.42069332,200678514.15241292
1,3,1,125592397.28733332,261646499.51825267
1,3,2,167316239.63146666,313089246.7215883
1,3,3,183695746.27968886,337895665.4912165
1,3,4,185627838.58333337,339323528.21229434
1,3,5,180959706.50613332,333349652.99718034
1,4,1,115887121.83720003,260377744.28140628
1,4,2,101297369.81520002,219030108.18788448
1,4,3,98000713.53044444,205547644.1762436
1,4,4,110055369.75233333,226179198.10016474
1,4,5,113836781.25024001,224055907.69815907
1,5,1,74632639.05786665,166452014.92739314
1,5,2,70888629.48426665,154545396.7104733
1,5,3,71416063.32453333,156751720.39960632
1,5,4,69976515.29366668,149527162.11003178
1,5,5,78181601.50216001,163727507.85655066
2,2,1,107730012.02853335,217499164.96444315
2,2,2,96416955.6652667,192298948.89872593
2,2,3,88113705.03840001,180176361.02804506
2,2,4,84823566.35649998,188516358.01968974
2,2,5,87467230.42069332,200678514.15241292
2,3,1,125592397.28733332,261646499.51825267
2,3,2,167316239.63146666,313089246.7215883
2,3,3,183695746.27968886,337895665.4912165
2,3,4,185627838.58333337,339323528.21229434
2,3,5,180959706.50613332,333349652.99718034
2,4,1,115887121.83720003,260377744.28140628
2,4,2,101297369.81520002,219030108.18788448
2,4,3,98000713.53044444,205547644.1762436
2,4,4,110055369.75233333,226179198.10016474
2,4,5,113836781.25024001,224055907.69815907
2,5,1,74632639.05786665,166452014.92739314
2,5,2,70888629.48426665,154545396.7104733
2,5,3,71416063.32453333,156751720.39960632
2,5,4,69976515.29366668,149527162.11003178
2,5,5,78181601.50216001,163727507.85655066
3,2,1,107730012.02853335,217499164.96444315
3,2,2,96416955.6652667,192298948.89872593
3,2,3,88113705.03840001,180176361.02804506
3,2,4,84823566.35649998,188516358.01968974
3,2,5,87467230.42069332,200678514.15241292
3,3,1,125592397.28733332,261646499.51825267
3,3,2,167316239.63146666,313089246.7215883
3,3,3,183695746.27968886,337895665.4912165
3,3,4,185627838.58333337,339323528.21229434
3,3,5,180959706.50613332,333349652.99718034
3,4,1,115887121.83720003,260377744.28140628
3,4,2,101297369.81520002,219030108.18788448
3,4,3,98000713.53044444,205547644.1762436
3,4,4,110055369.75233333,226179198.10016474
3,4,5,113836781.25024001,224055907.69815907
3,5,1,74632639.05786665,166452014.92739314
3,5,2,70888629.48426665,154545396.7104733
3,5,3,71416063.32453333,156751720.39960632
3,5,4,69976515.29366668,149527162.11003178
3,5,5,78181601.50216001,163727507.85655066
4,2,1,107730012.02853335,217499164.96444315
4,2,2,96416955.6652667,192298948.89872593
4,2,3,88113705.03840001,180176361.02804506
4,2,4,84823566.35649998,188516358.01968974
4,2,5,87467230.42069332,200678514.15241292
4,3,1,125592397.28733332,261646499.51825267
4,3,2,167316239.63146666,313089246.7215883
4,3,3,183695746.27968886,337895665.4912165
4,3,4,185627838.58333337,339323528.21229434
4,3,5,180959706.50613332,333349652.99718034
4,4,1,115887121.83720003,260377744.28140628
4,4,2,101297369.81520002,219030108.18788448
4,4,3,98000713.53044444,205547644.1762436
4,4,4,110055369.75233333,226179198.10016474
4,4,5,113836781.25024001,224055907.69815907
4,5,1,74632639.05786665,166452014.92739314
4,5,2,70888629.48426665,154545396.7104733
4,5,3,71416063.32453333,156751720.39960632
4,5,4,69976515.29366668,149527162.11003178
4,5,5,78181601.50216001,163727507.85655066
5,2,1,107730012.02853335,217499164.96444315
5,2,2,96416955.6652667,192298948.89872593
5,2,3,88113705.03840001,180176361.02804506
5,2,4,84823566.35649998,188516358.01968974
5,2,5,87467230.42069332,200678514.15241292
5,3,1,125592397.28733332,261646499.51825267
5,3,2,167316239.63146666,313089246.7215883
5,3,3,183695746.27968886,337895665.4912165
5,3,4,185627838.58333337,339323528.21229434
5,3,5,180959706.50613332,333349652.99718034
5,4,1,115887121.83720003,260377744.28140628
5,4,2,101297369.81520002,219030108.18788448
5,4,3,98000713.53044444,205547644.1762436
5,4,4,110055369.75233333,226179198.10016474
5,4,5,113836781.25024001,224055907.69815907
5,5,1,74632639.05786665,166452014.92739314
5,5,2,70888629.48426665,154545396.7104733
5,5,3,71416063.32453333,156751720.39960632
5,5,4,69976515.29366668,149527162.11003178
5,5,5,78181601.50216001,163727507.85655066
6,2,1,107730012.02853335,217499164.96444315
6,2,2,96416955.6652667,192298948.89872593
6,2,3,88113705.03840001,180176361.02804506
6,2,4,84823566.35649998,188516358.01968974
6,2,5,87467230.42069332,200678514.15241292
6,3,1,125592397.28733332,261646499.51825267
6,3,2,167316239.63146666,313089246.7215883
6,3,3,183695746.27968886,337895665.4912165
6,3,4,185627838.58333337,339323528.21229434
6,3,5,180959706.50613332,333349652.99718034
6,4,1,115887121.83720003,260377744.28140628
6,4,2,101297369.81520002,219030108.18788448
6,4,3,98000713.53044444,205547644.1762436
6,4,4,110055369.75233333,226179198.10016474
6,4,5,113836781.25024001,224055907.69815907
6,5,1,74632639.05786665,166452014.92739314
6,5,2,70888629.48426665,154545396.7104733
6,5,3,71416063.32453333,156751720.39960632
6,5,4,69976515.29366668,149527162.11003178
6,5,5,78181601.50216001,163727507.85655066
7,2,1,107730012.02853335,217499164.96444315
7,2,2,96416955.6652667,192298948.89872593
7,2,3,88113705.03840001,180176361.02804506
7,2,4,84823566.35649998,188516358.01968974
7,2,5,87467230.42069332,200678514.15241292
7,3,1,125592397.28733332,261646499.51825267
7,3,2,167316239.63146666,313089246.7215883
7,3,3,183695746.27968886,337895665.4912165
7,3,4,185627838.58333337,339323528.21229434
7,3,5,180959706.50613332,333349652.99718034
7,4,1,115887121.83720003,260377744.28140628
7,4,2,101297369.81520002,219030108.18788448
7,4,3,98000713.53044444,205547644.1762436
7,4,4,110055369.75233333,226179198.10016474
7,4,5,113836781.25024001,224055907.69815907
7,5,1,74632639.05786665,166452014.92739314
7,5,2,70888629.48426665,154545396.7104733
7,5,3,71416063.32453333,156751720.39960632
7,5,4,69976515.29366668,149527162.11003178
7,5,5,78181601.50216001,163727507.85655066
8,2,1,107730012.02853335,217499164.96444315
8,2,2,96416955.6652667,192298948.89872593
8,2,3,88113705.03840001,180176361.02804506
8,2,4,84823566.35649998,188516358.01968974
8,2,5,87467230.42069332,200678514.15241292
8,3,1,125592397.28733332,261646499.51825267
8,3,2,167316239.63146666,313089246.7215883
8,3,3,183695746.27968886,337895665.4912165
8,3,4,185627838.58333337,339323528.21229434
8,3,5,180959706.50613332,333349652.99718034
8,4,1,115887121.83720003,260377744.28140628
8,4,2,101297369.81520002,219030108.18788448
8,4,3,98000713.53044444,205547644.1762436
8,4,4,110055369.75233333,226179198.10016474
8,4,5,113836781.25024001,224055907.69815907
8,5,1,74632639.05786665,166452014.92739314
8,5,2,70888629.48426665,154545396.7104733
8,5,3,71416063.32453333,156751720.39960632
8,5,4,69976515.29366668,149527162.11003178
8,5,5,78181601.50216001,163727507.85655066
9,2,1,107730012.02853335,217499164.96444315
9,2,2,96416955.6652667,192298948.89872593
9,2,3,88113705.03840001,180176361.02804506
9,2,4,84823566.35649998,188516358.01968974
9,2,5,87467230.42069332,200678514.15241292
9,3,1,125592397.28733332,261646499.51825267
9,3,2,167316239.63146666,313089246.7215883
9,3,3,183695746.27968886,337895665.4912165
9,3,4,185627838.58333337,339323528.21229434
9,3,5,180959706.50613332,333349652.99718034
9,4,1,115887121.83720003,260377744.28140628
9,4,2,101297369.81520002,219030108.18788448
9,4,3,98000713.53044444,205547644.1762436
9,4,4,110055369.75233333,226179198.10016474
9,4,5,113836781.25024001,224055907.69815907
9,5,1,74632639.05786665,166452014.92739314
9,5,2,70888629.48426665,154545396.7104733
9,5,3,71416063.32453333,156751720.39960632
9,5,4,69976515.29366668,149527162.11003178
9,5,5,78181601.50216001,163727507.85655066
10,2,1,107730012.02853335,217499164.96444315
10,2,2,96416955.6652667,192298948.89872593
10,2,3,88113705.03840001,180176361.02804506
10,2,4,84823566.35649998,188516358.01968974
10,2,5,87467230.42069332,200678514.15241292
10,3,1,125592397.28733332,261646499.51825267
10,3,2,167316239.63146666,313089246.7215883
10,3,3,183695746.27968886,337895665.4912165
10,3,4,185627838.58333337,339323528.21229434
10,3,5,180959706.50613332,333349652.99718034
10,4,1,115887121.83720003,260377744.28140628
10,4,2,101297369.81520002,219030108.18788448
10,4,3,98000713.53044444,205547644.1762436
10,4,4,110055369.75233333,226179198.10016474
10,4,5,113836781.25024001,224055907.69815907
10,5,1,74632639.05786665,166452014.92739314
10,5,2,70888629.48426665,154545396.7104733
10,5,3,71416063.32453333,156751720.39960632
10,5,4,69976515.29366668,149527162.11003178
10,5,5,78181601.50216001,163727507.85655066
